Layer index,PC1,PC2,Grid x,Grid y,Run index
0,-0.2127931654355653,-0.16943483584273156,2,1,41
0,0.22131251437065716,-0.08519003618955663,2,2,41
0,-0.16074587195173898,-0.03578451713034059,0,0,42
0,0.17454825979796787,-0.09370548422510244,0,1,42
0,-0.207409896110909,0.041459269740982276,0,2,42
0,0.21723038917933493,0.09325127024199341,1,0,42
0,-0.18734327143412818,-0.04403716334380684,1,1,42
0,0.2354030927320771,-0.015049054176761563,1,2,42
0,-0.20733296443509328,0.21014531358698824,2,0,42
0,0.20372363900182128,0.026705131999063214,2,1,42
0,-0.21284392007272931,-0.04357108765137765,2,2,42
0,-0.19722038358928876,-0.060798013380897645,0,0,43
0,0.2205904858283491,-0.15173408461338098,0,1,43
0,-0.21047541795613176,0.08631037742345099,0,2,43
0,0.22287869805780414,0.16881125954544562,1,0,43
0,-0.215151552611388,-0.14905573472558376,1,1,43
0,0.1975345896875278,-0.10620720366360616,1,2,43
0,-0.19071514695908962,0.11174428040078523,2,0,43
0,0.2256519880856992,-0.12615557135196728,2,1,43
0,-0.20278986520775966,0.18555094717629167,2,2,43
0,-0.20957008267991478,-0.10751255565614304,0,0,44
0,0.20243477611263225,0.08212417336373595,0,1,44
0,-0.14187753476708623,0.17877530375654022,0,2,44
0,0.2236643497951867,0.013944314782462148,1,0,44
0,-0.20784518745330272,0.208345446716912,1,1,44
0,0.20001404645521886,-0.02141338343377043,1,2,44
0,-0.20989467621845861,0.0020999445303802695,2,0,44
0,0.21004839755929078,-0.12500541473930754,2,1,44
0,-0.20186233272276774,0.07499145337486103,2,2,44
0,0.16348893955832394,-0.042913263463725544,0,0,45
0,-0.1967405285453889,-0.15389348155701182,0,1,45
0,0.22293447133421498,-0.02529432596668467,0,2,45
0,-0.19203942068745278,0.0205929421967331,1,0,45
0,0.2255233143486769,-0.002598038539490798,1,1,45
0,-0.21381299217116187,0.05675038609338636,1,2,45
0,0.24266327280740213,0.1614831274356307,2,0,45
0,-0.20217746273084128,-0.10801110649338443,2,1,45
0,0.20247072604692748,-0.06928697210131196,2,2,45
0,-0.17482084110261054,-0.0029454687673846234,0,0,46
0,0.20341099700042714,0.03791040985428299,0,1,46
0,-0.19225775896575828,0.06374843319780614,0,2,46
0,0.2454537062862507,0.07338936115694247,1,0,46
0,-0.21884582573420244,-0.010058531784066528,1,1,46
0,0.24816764461812407,0.0010615679270494084,1,2,46
0,-0.17463308986454346,0.107617369690343,2,0,46
0,0.19818413137618587,-0.08827376790716922,2,1,46
0,-0.19623582312871904,-0.013301179904262862,2,2,46
0,0.2179600882299754,-0.1205911228878931,0,0,47
0,-0.2104717397017803,-0.10496586030186054,0,1,47
0,0.19199636225343727,-0.16687668897453997,0,2,47
0,-0.14861436249881552,-0.1705248052925904,1,0,47
0,0.22637910103763562,-0.0622984601504076,1,1,47
0,-0.2390143242525623,0.12379250484108287,1,2,47
0,-0.22050563542129176,-0.02561699313689019,2,1,47
0,0.23936633158629797,0.11638024606551739,2,2,47
0,0.21189594046911964,-0.10250691502498199,0,0,48
0,-0.2079954785988086,-0.11250919396077055,0,1,48
0,0.23254273331454686,0.14287415532253195,0,2,48
0,-0.20734709280926766,-0.1048888728926474,1,0,48
0,0.2411003996153367,-0.043258350602620746,1,1,48
0,-0.19931135473800882,0.13643620379309448,1,2,48
0,0.21780357894847568,-0.12791447552500051,2,0,48
0,-0.21475903830548942,-0.14139454220371458,2,1,48
0,0.16456756061905628,0.07572534118043463,2,2,48
0,-0.23510893760116328,0.08192020882782922,0,0,49
0,0.2171713277957037,0.1246372314160414,0,1,49
0,-0.17766847242459444,-0.09250601687316631,0,2,49
0,0.2405771400517558,-0.022086700184429632,1,0,49
0,-0.207061072368909,-0.01831204259807419,1,1,49
0,0.18778597865685773,-0.1647247629530052,1,2,49
0,-0.19383573547926466,-0.03552107150569755,2,0,49
0,0.1914442385964671,-0.12973844853594768,2,1,49
0,-0.19770707342384286,0.08740828673569385,2,2,49
0,-0.19416066101098983,0.002080973437365432,0,0,50
0,0.21463019610009232,0.14530211202734888,0,1,50
0,-0.21158245521480018,0.15217225225320924,0,2,50
