PC1,PC2,series,Point type
0.020064154639840126,-0.018154069781303406,Health,Background
-0.03578967973589897,-0.06972616165876389,Health,Background
-0.25947922468185425,-0.22254231572151184,Health,Background
-0.057853084057569504,-0.08037296682596207,Health,Background
-0.20831476151943207,-0.12937676906585693,Health,Background
-0.2861925959587097,0.0796612873673439,Health,Background
-0.25830191373825073,-0.23500090837478638,Health,Background
0.02065848559141159,-0.13887298107147217,Health,Background
-0.1808512955904007,-0.1338908076286316,Health,Background
-0.0633569061756134,-0.04127604514360428,Health,Background
-0.12229929864406586,-0.224362313747406,Health,Background
-0.07576455175876617,-0.021040141582489014,Health,Background
-0.12266936898231506,-0.12332524359226227,Health,Background
-0.1297650784254074,-0.062054507434368134,Health,Background
-0.027378540486097336,-0.24967262148857117,Health,Background
-0.1361251324415207,-0.2761828601360321,Health,Background
-0.13258357346057892,-0.15127086639404297,Health,Background
-0.0688474178314209,-0.1935776174068451,Health,Background
-0.05549083277583122,-0.16557028889656067,Health,Background
-0.019265025854110718,-0.1495947241783142,Health,Background
-0.05461050197482109,-0.2620989680290222,Health,Background
-0.32255274057388306,0.02913268655538559,Health,Background
-0.14480425417423248,-0.017044179141521454,Health,Background
-0.017191890627145767,-0.14050719141960144,Health,Background
-0.08866569399833679,-0.14488491415977478,Health,Background
0.06701686978340149,-0.08152991533279419,Health,Background
-0.044975269585847855,-0.09505383670330048,Health,Background
-0.17175917327404022,-0.14354215562343597,Health,Background
-0.06656812131404877,-0.2869687080383301,Health,Background
-0.055680859833955765,-0.22865408658981323,Health,Background
-0.031660955399274826,-0.15960398316383362,Health,Background
-0.15144558250904083,-0.13053181767463684,Health,Background
-0.09162405133247375,0.027723439037799835,Health,Background
-0.22114033997058868,-0.035966262221336365,Health,Background
0.02410515770316124,-0.01306072622537613,Health,Background
-0.10744641721248627,-0.10013432800769806,Health,Background
-0.16622401773929596,-0.21944203972816467,Health,Background
-0.10122145712375641,-0.15796490013599396,Health,Background
-0.1959817260503769,-0.2171984314918518,Health,Background
-0.13907884061336517,-0.15340487658977509,Health,Background
-0.02387547865509987,-0.09134022891521454,Health,Background
0.01865512505173683,-0.19022750854492188,Health,Background
-0.198379248380661,-0.17410413920879364,Health,Background
0.00040597841143608093,0.2634853422641754,Health,Background
-0.15317924320697784,-0.20441138744354248,Health,Background
-0.08401942253112793,-0.2751629650592804,Health,Background
-0.05032370612025261,-0.29417598247528076,Health,Background
-0.13496269285678864,-0.13536639511585236,Health,Background
-0.03392470255494118,-0.0866454690694809,Health,Background
-0.2082715481519699,0.0746169462800026,Health,Background
-0.17660386860370636,-0.10957737267017365,Health,Background
-0.10027681291103363,-0.29256105422973633,Health,Background
-0.09378819167613983,-0.10388950258493423,Health,Background
-0.23272882401943207,0.12252629548311234,Health,Background
-0.01465221494436264,-0.22084400057792664,Health,Background
-0.041145410388708115,-0.2577323913574219,Health,Background
0.07624220848083496,-0.1366114616394043,Health,Background
-0.026577841490507126,-0.21385937929153442,Health,Background
-0.13563542068004608,-0.035339102149009705,Health,Background
-0.22218389809131622,0.07443021982908249,Health,Background
-0.12475873529911041,-0.0517655611038208,Health,Background
0.06352071464061737,-0.03469078242778778,Health,Background
-0.05777345225214958,-0.170433908700943,Health,Background
-0.12811745703220367,0.024026550352573395,Health,Background
-0.022431623190641403,-0.16369599103927612,Health,Background
-0.06611813604831696,-0.3799014389514923,Health,Background
-0.14787845313549042,-0.17079374194145203,Health,Background
-0.17304827272891998,-0.02238604798913002,Health,Background
0.12259706854820251,-0.3797520101070404,Health,Background
-0.2543089985847473,-0.1878698170185089,Health,Background
0.0965404212474823,-0.08740498125553131,Health,Background
-0.25410357117652893,0.041644759476184845,Health,Background
-0.13201576471328735,0.0650373175740242,Health,Background
-0.13536398112773895,-0.1607145369052887,Health,Background
-0.002181015908718109,-0.10507236421108246,Health,Background
-0.1701667159795761,0.046443529427051544,Health,Background
-0.16018089652061462,-0.019738860428333282,Health,Background
0.02970249392092228,-0.17833161354064941,Health,Background
0.0033969543874263763,-0.21183723211288452,Health,Background
