PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (1, 2)",-0.28282204095114777,0.17159495017466056,1,2,
Combined,Our model,"grid position (2, 0)",-0.18552231089408047,-0.20680882363813247,2,0,
Combined,Our model,"grid position (2, 1)",-0.1567306416923733,-0.05366942903199346,2,1,
Combined,Our model,"grid position (2, 2)",-0.3693072452665896,0.1252855878608114,2,2,
Combined,Our model,"grid position (0, 0)",0.3764205012750172,-0.05569911717275037,0,0,
Combined,Our model,"grid position (0, 1)",0.2582962525982762,0.1607299271801864,0,1,
Combined,Our model,"grid position (0, 2)",0.0930524726675187,0.36293829923131404,0,2,
Combined,Our model,"grid position (1, 0)",0.026549240355433358,-0.18858816489594044,1,0,
Combined,Our model,"grid position (1, 1)",0.0243038908072548,0.0045903548951955996,1,1,
Combined,Our model,"grid position (1, 2)",-0.24421909701234923,0.22624104078528218,1,2,
Combined,Our model,"grid position (2, 0)",-0.018390125453552408,-0.17717792106522898,2,0,
Combined,Our model,"grid position (2, 1)",0.02739003003652379,-0.141648862688802,2,1,
Combined,Our model,"grid position (2, 2)",-0.32529887607734836,0.1408061804014281,2,2,
Combined,Our model,"grid position (0, 0)",0.3269130367384475,-0.06437016484636253,0,0,
Combined,Our model,"grid position (0, 1)",0.2929537514028296,0.10875658258617263,0,1,
Combined,Our model,"grid position (0, 2)",0.10237046887516187,0.17916392087643268,0,2,
Combined,Our model,"grid position (1, 0)",0.03608367910366895,-0.24969395590797877,1,0,
Combined,Our model,"grid position (1, 1)",-0.001249151994105294,-0.0640619514031671,1,1,
Combined,Our model,"grid position (1, 2)",-0.17934563278622484,0.10333491889455355,1,2,
Combined,Our model,"grid position (2, 0)",-0.08407624037667544,-0.2529510271411251,2,0,
Combined,Our model,"grid position (2, 1)",-0.07071200977722863,-0.10834696233469499,2,1,
Combined,Our model,"grid position (2, 2)",-0.19689487920238502,-0.023967812068335086,2,2,
Combined,Our model,"grid position (0, 0)",0.33841152896666626,-0.09962718063795953,0,0,
Combined,Our model,"grid position (0, 1)",0.3337218955515931,0.18218073841861723,0,1,
Combined,Our model,"grid position (0, 2)",0.1674605854225778,0.3733079958528049,0,2,
Combined,Our model,"grid position (1, 0)",0.03589425204628495,-0.24556800078643876,1,0,
